year,plot,column,row,accession,SampleName,DTF,DTH,PtHt,PcleLng,SdLen,TGW,SdWpPlot,SdW_z
2017,258,3,15,D-12177,S3A7_batch1,NA,NA,183,NA,NA,NA,46.89,-0.767052635
2017,257,3,16,CHEN-451,S5B1_batch2,NA,NA,130,NA,NA,NA,151.58,0.457429462
2017,256,3,17,D-12034,S5E1_batch2,NA,NA,150,NA,NA,NA,119.3,0.079873993
2017,255,3,18,D-12227,NA,NA,NA,100,NA,NA,NA,NA,NA
2017,254,3,19,CHEN-370,S5E7_batch2,NA,NA,108,NA,NA,NA,99.35,-0.153466516
2017,251,3,22,D-12396,NA,NA,NA,165,NA,NA,NA,167.14,0.639423363
2017,250,3,23,D-10070,NA,NA,NA,126,NA,NA,NA,9.27,-1.207066165
2017,248,3,25,PI-634925,S2H3_batch1,NA,NA,130,NA,NA,NA,238.97,1.479566156
2017,244,3,29,D-12022,NA,NA,NA,153,NA,NA,NA,102.97,-0.111126032
2017,243,3,30,Ames-13745,S1E6_batch1,NA,NA,150,NA,NA,NA,110.62,-0.021649597
2017,242,3,31,KU-2,S517_batch3,NA,NA,127,NA,NA,NA,130.19,0.207246331
2017,241,3,32,Regalona,S1C5_batch1,NA,NA,NA,NA,NA,NA,140.47,0.327483946
2017,240,3,33,CHEN-198,NA,NA,NA,130,NA,NA,NA,160.64,0.563397633
2017,237,3,36,CHEN-129,NA,NA,NA,117,NA,NA,NA,281.37,1.975487838
2017,230,3,43,Salcedo-Inia,S754_batch3,NA,NA,153,NA,NA,NA,63.56,-0.572075879
2017,229,3,44,CHEN-397,S3D10_batch1,NA,NA,150,NA,NA,NA,116.36,0.045486971
2017,228,3,45,Regalona,S1C5_batch1,NA,NA,125,NA,NA,NA,109.84,-0.030772684
2017,226,3,47,D-11939,NA,NA,NA,165,NA,NA,NA,NA,NA
2017,225,3,48,CHEN-324,NA,NA,NA,116,NA,NA,NA,NA,NA
2017,224,3,49,D-12285,NA,NA,NA,130,NA,NA,NA,159.46,0.549596039
2017,222,3,51,D-12281,S6G3_batch2,NA,NA,131,NA,NA,NA,96.96,-0.181420592
2017,221,3,52,D-12220,S1H4_batch1,NA,NA,96,NA,NA,NA,95.16,-0.202473871
2017,220,3,53,D-10128,NA,NA,NA,91,NA,NA,NA,NA,NA
2017,218,3,55,D-12338,NA,NA,NA,110,NA,NA,NA,NA,NA
2017,216,3,57,CHEN-91,S2B8_batch1,NA,NA,108,NA,NA,NA,NA,NA
2017,215,3,58,PI-614931,S8F14_batch2,NA,NA,86,NA,NA,NA,96.52,-0.186566949
2017,212,3,61,D-12176,S2H8_batch1,NA,NA,135,NA,NA,NA,149.56,0.433803005
2017,211,3,62,D-11901,NA,NA,NA,132,NA,NA,NA,NA,NA
2017,210,3,63,CHEN-457,S747_batch3,NA,NA,139,NA,NA,NA,42.11,-0.822960787
2017,208,3,65,CHEN-465,S1D2_batch1,NA,NA,76,NA,NA,NA,21.21,-1.067412748
2017,207,3,66,D-12178,NA,NA,NA,152,NA,NA,NA,NA,NA
2017,206,3,67,CO-KA-1915,NA,NA,NA,113,NA,NA,NA,NA,NA
2017,201,3,72,CHEN-188,NA,NA,NA,89,NA,NA,NA,NA,NA
2017,200,3,73,CHEN-427,S3H8_batch1,NA,NA,106,NA,NA,NA,98.3,-0.165747595
2017,199,3,74,D-12334,NA,NA,NA,96,NA,NA,NA,67.7,-0.523653337
2017,198,3,75,PI-614885,S1C9_batch1,NA,NA,150,NA,NA,NA,112.41,-0.00071328
2017,197,3,76,PI-478418,S3B5_batch1,NA,NA,121,NA,NA,NA,76.09,-0.425521665
