"iteration","fold","trait","location","pearson","ndcg_at_10","seed","n_test_genotypes"
2,5,"SdW_z_blue","AUS",0.312743668632321,0.604745869644744,1002,109
2,5,"SdW_z_blue","PAK",0.0419439584085147,0.520565391667469,1002,72
2,5,"TGW_blue","AUS",0.373456273018329,0.658316192796376,1002,102
2,5,"TGW_blue","PAK",0.185470323041107,0.755413188752552,1002,72
2,5,"SdLen_blue","AUS",0.431002814082709,0.681597446660357,1002,102
2,5,"SdLen_blue","PAK",0.261402710948599,0.650070618455314,1002,72
2,5,"DTF_blue","AUS",0.152297459815777,0.721438559108506,1002,102
2,5,"DTF_blue","PAK",0.358402201351883,0.842683929885839,1002,72
2,5,"DTH_blue","AUS",0.302391935811493,0.69522778809475,1002,102
2,5,"DTH_blue","PAK",0.282918391623768,0.850485755334975,1002,73
3,1,"PcleLng_mean","AUS",0.299582702498715,0.636607426069844,1003,104
3,1,"PcleLng_mean","PAK",0.0513483556766182,0.572835925370559,1003,62
3,1,"SdW_mean","AUS",0.460770771908843,0.715429590119829,1003,108
3,1,"SdW_mean","PAK",0.0694369966937403,0.568950239676482,1003,57
3,1,"TGW_mean","AUS",0.580195071677308,0.800495180005139,1003,102
3,1,"TGW_mean","PAK",0.148492537449993,0.665936938717787,1003,57
3,1,"SdLen_mean","AUS",0.600207149627391,0.740855613698801,1003,102
3,1,"SdLen_mean","PAK",0.0908771915413686,0.533948309120026,1003,57
3,1,"DTF_mean","AUS",0.250660046618436,0.841298947385127,1003,104
3,1,"DTF_mean","PAK",0.345621429202259,0.84860966955234,1003,62
3,1,"DTH_mean","AUS",0.303146998035098,0.653930667388246,1003,102
3,1,"DTH_mean","PAK",0.441321907110491,0.883563994765831,1003,59
3,1,"PcleLng_blue","AUS",0.307332296128431,0.632752557129461,1003,104
3,1,"PcleLng_blue","PAK",0.0705241272146321,0.549184566814485,1003,62
3,1,"SdW_z_blue","AUS",0.470509710658207,0.717444854856625,1003,108
3,1,"SdW_z_blue","PAK",0.0597676274743975,0.594797716224561,1003,57
3,1,"TGW_blue","AUS",0.58524200500389,0.806935554335291,1003,102
3,1,"TGW_blue","PAK",0.140045011589438,0.659077169906706,1003,57
3,1,"SdLen_blue","AUS",0.607316228016531,0.740462132871166,1003,102
3,1,"SdLen_blue","PAK",0.111388273025408,0.5843488420639,1003,57
3,1,"DTF_blue","AUS",0.249261128158553,0.854920936854245,1003,104
3,1,"DTF_blue","PAK",0.295553473458112,0.771766336709604,1003,62
3,1,"DTH_blue","AUS",0.322345771514727,0.662171627707384,1003,102
3,1,"DTH_blue","PAK",0.463504933711415,0.888847270458536,1003,59
3,2,"PcleLng_mean","AUS",0.348728286443559,0.768640629404095,1003,104
3,2,"PcleLng_mean","PAK",0.0872800096161995,0.635765505566847,1003,52
3,2,"SdW_mean","AUS",0.483613807809782,0.725883282283134,1003,106
3,2,"SdW_mean","PAK",0.0598599506826699,0.426304596145871,1003,49
3,2,"TGW_mean","AUS",0.460841130576177,0.701481743467373,1003,101
3,2,"TGW_mean","PAK",0.200220664572795,0.779269059358379,1003,49
3,2,"SdLen_mean","AUS",0.475516280479388,0.758721270885566,1003,101
3,2,"SdLen_mean","PAK",0.372376191503643,0.882741645063362,1003,49
3,2,"DTF_mean","AUS",0.31312695171574,0.796218906550591,1003,104
3,2,"DTF_mean","PAK",0.456057503803377,0.808152243523304,1003,52
3,2,"DTH_mean","AUS",0.369312587467151,0.719632930059446,1003,102
3,2,"DTH_mean","PAK",0.344315007847087,0.903139916155897,1003,49
3,2,"PcleLng_blue","AUS",0.366121279316693,0.748039094979804,1003,104
3,2,"PcleLng_blue","PAK",0.107993389845125,0.60184652898165,1003,52
